("n :",1000,1.990000000000009)
("n :",999,2.1099999999999994)
("n :",998,2.25)
("n :",997,2.25)
("n :",996,2.3600000000000136)
("n :",995,2.4099999999999966)
("n :",994,2.4099999999999966)
("n :",993,2.5200000000000102)
("n :",992,2.2900000000000063)
("n :",991,2.3600000000000136)
("n :",990,2.5200000000000102)
("n :",989,2.5200000000000102)
("n :",988,2.530000000000001)
("n :",987,2.530000000000001)
("n :",986,2.530000000000001)
("n :",985,2.5200000000000102)
("n :",984,2.5200000000000102)
("n :",983,2.5200000000000102)
("n :",982,2.530000000000001)
("n :",981,2.530000000000001)
("n :",980,2.530000000000001)
("n :",979,2.530000000000001)
("n :",978,2.530000000000001)
("n :",977,2.530000000000001)
("n :",976,2.530000000000001)
("n :",975,2.530000000000001)
("n :",974,2.5200000000000102)
("n :",973,2.5200000000000102)
("n :",972,2.530000000000001)
("n :",971,2.530000000000001)
("n :",970,2.530000000000001)
("n :",969,2.530000000000001)
("n :",968,2.5200000000000102)
("n :",967,2.530000000000001)
("n :",966,2.5200000000000102)
("n :",965,2.530000000000001)
("n :",964,2.530000000000001)
("n :",963,2.530000000000001)
("n :",962,2.530000000000001)
("n :",961,2.530000000000001)
("n :",960,2.5200000000000102)
("n :",959,2.5200000000000102)
("n :",958,2.4099999999999966)
("n :",957,2.5200000000000102)
("n :",956,2.5200000000000102)
("n :",955,2.5200000000000102)
("n :",954,2.5200000000000102)
("n :",953,2.4099999999999966)
("n :",952,2.5200000000000102)
("n :",951,2.3600000000000136)
("n :",950,2.530000000000001)
("n :",949,2.3600000000000136)
("n :",948,2.3600000000000136)
("n :",947,2.3600000000000136)
("n :",946,2.4099999999999966)
("n :",945,2.5200000000000102)
("n :",944,2.5200000000000102)
("n :",943,2.530000000000001)
("n :",942,2.530000000000001)
("n :",941,2.530000000000001)
("n :",940,2.530000000000001)
("n :",939,2.530000000000001)
("n :",938,2.4099999999999966)
("n :",937,2.3600000000000136)
("n :",936,2.3600000000000136)
("n :",935,2.3600000000000136)
("n :",934,2.3600000000000136)
("n :",933,2.3600000000000136)
("n :",932,2.3600000000000136)
("n :",931,2.530000000000001)
("n :",930,2.4099999999999966)
("n :",929,2.530000000000001)
("n :",928,2.4099999999999966)
("n :",927,2.3600000000000136)
("n :",926,2.3600000000000136)
("n :",925,2.3600000000000136)
("n :",924,2.3600000000000136)
