1,0,108,23,130,127
37,66,0,0,0,1801
37,66,0,0,0,71
1,0,10,0,9,1648
6,37,4,0,0,1481
37,66,0,0,0,3596
37,66,0,0,0,3074
1,0,7,0,6,3509
37,66,0,0,0,2927
1,0,120,0,119,2266
37,66,0,0,0,3163
1,0,144,0,143,1178
1,1,13,0,10,2915
1,0,60,0,59,1387
2,45,0,0,0,512
37,66,0,0,0,1932
1,0,112,72,183,463
1,0,58,0,57,458
0,0,60,0,59,517
37,66,0,0,0,1785
1,0,96,0,95,2634
1,0,33,0,32,1250
37,66,0,0,0,3588
37,66,0,0,0,1363
1,0,153,0,152,722
37,66,0,0,0,2507
37,66,0,0,0,3051
35,66,0,0,0,1109
2,1,50,0,47,2067
1,15,25,0,9,1630
10,34,1,0,0,3497
37,66,0,0,0,1597
37,66,0,0,0,3185
2,1,14,0,11,3109
37,66,0,0,0,728
1,0,51,0,50,1244
36,66,0,0,0,2154
1,55,10,0,0,1638
34,66,0,0,0,742
1,7,16,0,8,29
1,0,139,0,138,350
1,0,76,0,75,1969
37,66,0,0,0,1810
37,66,0,0,0,2203
37,66,0,0,0,58
1,0,95,0,94,153
37,66,0,0,0,2932
37,66,0,0,0,2754
1,0,35,0,34,2387
37,66,0,0,0,1546
1,0,39,0,38,101
34,66,0,0,0,340
1,7,31,0,23,2994
10,34,1,0,0,3256
36,66,0,0,0,311
1,0,34,0,33,3906
13,45,5,0,0,3844
10,13,2,0,0,825
14,45,11,0,0,3655
1,0,54,0,53,917
3,4,6,0,0,2425
1,0,62,0,61,3431
1,2,9,0,6,3536
15,45,1,0,0,495
15,19,2,0,0,1703
3,3,7,0,1,3889
1,0,20,0,19,3302
37,66,0,0,0,2086
37,66,0,0,0,1322
1,0,37,0,36,1816
7,38,13,0,0,3571
5,36,15,0,0,2460
37,66,0,0,0,2510
1,0,27,0,26,1172
37,66,0,0,0,2699
1,0,20,0,19,2458
0,0,25,0,24,1259
5,36,2,0,0,834
13,45,4,0,0,285
37,66,0,0,0,3824
37,66,0,0,0,3574
49,78,0,0,0,2976
23,56,5,0,0,2441
1,46,2,0,0,3475
1,0,78,0,77,2414
1,0,40,0,39,1216
23,34,5,0,0,3238
1,1,38,0,35,3879
0,0,105,0,104,3421
1,0,18,0,17,2274
19,45,8,0,0,2194
1,0,26,0,25,2285
14,45,8,0,0,3092
18,36,21,0,0,1135
13,45,6,0,0,2002
23,78,0,0,0,2864
2,1,14,0,11,1203
1,0,61,56,116,96
38,66,0,0,0,2088
38,66,0,0,0,1068
5,15,31,0,4,1667
38,66,0,0,0,3836
10,49,1,0,0,2114
1,0,16,0,15,486
3,4,5,0,0,1354
7,49,1,0,0,2134
38,66,0,0,0,569
1,0,49,0,48,8
3,55,0,0,0,2359
1,1,37,0,34,3239
1,0,51,0,50,3111
1,0,27,0,26,2045
1,0,68,0,67,1396
1,0,125,0,124,686
38,66,0,0,0,3149
1,1,6,0,4,1760
38,66,0,0,0,391
0,2,21,0,18,2033
38,66,0,0,0,943
2,18,2,0,0,1887
17,45,11,0,0,2676
13,45,7,0,0,2907
1,0,53,0,52,1375
1,0,138,0,137,180
1,20,2,0,0,1585
49,78,0,0,0,2939
0,0,21,0,20,1877
13,45,5,0,0,246
38,66,0,0,0,2705
38,66,0,0,0,690
6,37,8,0,0,2227
38,66,0,0,0,1168
38,66,0,0,0,61
2,1,44,0,41,3241
38,66,0,0,0,536
1,0,111,27,137,1767
5,46,2,0,0,1653
2,1,13,0,10,3540
38,66,0,0,0,2237
2,28,27,0,0,1688
38,66,0,0,0,2394
1,0,44,0,43,1266
13,45,5,0,0,3326
1,1,77,0,74,3419
1,0,47,0,46,2654
1,0,35,0,34,3311
14,45,0,0,0,2958
6,37,4,0,0,1458
1,0,50,0,49,444
0,0,67,0,66,508
38,66,0,0,0,1336
1,6,9,0,2,3627
38,66,0,0,0,39
2,1,13,0,10,3260
11,57,1,0,0,558
1,0,74,1,74,1089
7,38,3,0,0,12
38,66,0,0,0,3200
38,66,0,0,0,3036
38,66,0,0,0,1554
6,37,2,0,0,2168
38,66,0,0,0,573
7,49,1,0,0,2710
13,45,6,0,0,3518
17,45,13,0,0,3707
2,45,3,0,0,1084
34,66,0,0,0,3343
1,0,125,91,215,3413
4,45,1,0,0,3446
1,1,20,0,18,638
38,66,0,0,0,875
7,38,10,0,0,2350
15,34,1,0,0,1
1,0,26,0,25,2479
1,0,31,0,30,3467
2,1,45,0,42,1522
13,45,2,0,0,506
1,7,14,0,6,136
1,0,66,0,65,3218
2,1,99,0,96,116
38,66,0,0,0,1197
26,38,3,0,0,1580
38,66,0,0,0,3274
38,66,0,0,0,2937
38,66,0,0,0,2146
26,47,4,0,0,2419
38,66,0,0,0,661
2,45,3,0,0,3157
2,18,2,0,0,2845
15,34,1,0,0,2482
38,66,0,0,0,2719
38,66,0,0,0,1935
16,45,12,0,0,2690
10,28,0,0,0,581
34,66,0,0,0,2727
1,1,66,0,63,308
2,1,12,0,9,3485
1,0,187,13,199,678
43,66,0,0,0,3802
1,1,35,0,33,3862
1,0,34,0,33,1517
23,66,0,0,0,2808
34,66,0,0,0,3025
1,0,50,1,50,1975
1,0,58,0,57,3004
1,0,12,0,11,3676
1,19,5,0,0,2910
1,29,17,0,0,1973
1,0,19,0,18,1991
43,66,0,0,0,3027
1,0,102,0,101,927
1,0,27,0,26,301
13,45,5,0,0,3180
2,29,10,0,0,2302
1,0,112,0,111,51
1,0,7,0,6,1758
16,34,1,0,0,3849
24,45,3,0,0,456
1,0,23,0,22,1822
43,66,0,0,0,3063
1,0,41,0,40,2745
1,1,11,0,8,652
43,66,0,0,0,1033
43,66,0,0,0,2736
43,66,0,0,0,2258
1,0,13,0,12,2034
1,1,42,0,40,2400
9,49,1,0,0,3851
1,0,29,0,28,1539
1,1,11,0,8,2029
16,45,16,0,0,796
5,45,4,0,0,2349
17,45,11,0,0,3552
1,0,194,44,237,366
1,0,152,4,155,844
1,12,10,0,0,1541
10,29,12,0,0,3727
43,66,0,0,0,2723
43,66,0,0,0,272
16,45,8,0,0,3527
1,1,11,0,8,2343
1,0,132,1,132,775
2,1,25,0,22,2518
43,66,0,0,0,3044
16,34,1,0,0,2108
19,45,0,0,0,20
1,0,43,0,42,2376
1,0,6,0,5,888
43,66,0,0,0,3771
43,66,0,0,0,3743
10,49,2,0,0,1011
1,0,48,0,47,1983
1,12,11,0,0,3100
7,37,2,0,0,1754
18,45,10,0,0,3787
1,0,27,0,26,3562
1,0,48,0,47,1627
